Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
1252,"[23.61, 85.79]",0,0,1104.094,0.6184,Bokaro,Rural,0.0,0.0,1.0,0.0
1253,"[23.62, 85.79]",0,0,0.0,0.2279,Bokaro,Rural,0.0,0.0,1.0,0.0
1254,"[23.63, 85.79]",0,0,0.0,0.1446,Bokaro,Rural,0.0,0.0,1.0,0.0
1255,"[23.64, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1256,"[23.65, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1257,"[23.66, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1258,"[23.67, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1259,"[23.68, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1260,"[23.69, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.004979,0.9950209999999999,0.0
1261,"[23.7, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.322902,0.677098,0.0
1262,"[23.71, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.129445,0.870555,0.0
1263,"[23.72, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1264,"[23.73, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1265,"[23.74, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1266,"[23.75, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1267,"[23.76, 85.79]",0,0,0.0,0.1756,Bokaro,Rural,0.0,0.0,1.0,0.0
1268,"[23.77, 85.79]",1,0,1153.4579,0.5397,Bokaro,Rural,0.0,0.0,1.0,0.0
1269,"[23.78, 85.79]",0,0,0.0,0.2731,Bokaro,Rural,0.0,0.0,1.0,0.0
1270,"[23.79, 85.79]",0,0,0.0,0.0689,Bokaro,Rural,0.0,0.0,1.0,0.0
1271,"[23.8, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1272,"[23.81, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1273,"[23.82, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1274,"[23.83, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1275,"[23.84, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1276,"[23.85, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1277,"[23.86, 85.79]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,0.84495,0.0
1278,"[23.87, 85.79]",0,0,0.0,0.1204,Bokaro,Rural,0.0,0.0,0.5967279999999999,0.0
1279,"[23.88, 85.79]",0,0,0.0,0.1623,Bokaro,Rejected,0.0,0.0,0.056899,0.0
1280,"[23.89, 85.79]",0,0,1128.0169,0.5886,Bokaro,Rejected,0.0,0.0,0.0,0.0
1281,"[23.9, 85.79]",1,0,1857.4318,0.5377,Bokaro,Rejected,0.0,0.0,0.0,0.0
1282,"[23.91, 85.79]",2,0,2179.1146,0.5720000000000001,Bokaro,Rejected,0.0,0.0,0.0,0.0
1283,"[23.92, 85.79]",0,0,69.0806,0.251,Bokaro,Rejected,0.0,0.0,0.0,0.0
1284,"[23.93, 85.79]",0,0,0.0,0.3027,Bokaro,Rejected,0.0,0.0,0.0,0.0
1285,"[23.94, 85.79]",0,0,0.0,0.2623,Bokaro,Rejected,0.0,0.0,0.0,0.0
1286,"[23.95, 85.79]",0,0,0.0,0.1519,Bokaro,Rejected,0.0,0.0,0.0,0.0
1287,"[23.96, 85.79]",0,0,0.0,0.1873,Bokaro,Rejected,0.0,0.0,0.0,0.0
1288,"[23.41, 85.8]",0,0,0.0,0.2309,Bokaro,Rejected,0.0,0.0,0.0,0.0
1289,"[23.42, 85.8]",2,0,1373.4798,0.49700000000000005,Bokaro,Rejected,0.0,0.0,0.0,0.0
1290,"[23.43, 85.8]",4,0,1743.6944,0.4912,Bokaro,Rejected,0.0,0.0,0.0,0.0
1291,"[23.44, 85.8]",1,0,1734.9701,0.3355,Bokaro,Rejected,0.0,0.0,0.0,0.0
1292,"[23.45, 85.8]",3,0,1826.5432,0.32299999999999995,Bokaro,Rejected,0.0,0.0,0.0,0.0
1293,"[23.46, 85.8]",4,0,2367.6226,0.4152,Bokaro,Rejected,0.0,0.0,0.0,0.0
1294,"[23.47, 85.8]",0,0,454.1723,0.3855,Bokaro,Rejected,0.0,0.0,0.0,0.0
1295,"[23.48, 85.8]",0,0,0.0,0.0827,Bokaro,Rejected,0.0,0.0,0.0,0.0
1296,"[23.49, 85.8]",0,0,0.0,0.0,Bokaro,Rejected,0.0,0.0,0.0,0.0
1297,"[23.5, 85.8]",0,0,0.0,0.0,Bokaro,Rejected,0.0,0.0,0.0,0.0
1298,"[23.51, 85.8]",0,0,0.0,0.0,Bokaro,Rejected,0.0,0.0,0.0,0.0
1299,"[23.52, 85.8]",0,0,0.0,0.0,Bokaro,Rejected,0.0,0.0,0.0,0.0
1300,"[23.53, 85.8]",0,0,0.0,0.0,Bokaro,Rejected,0.0,0.0,0.0,0.0
1301,"[23.54, 85.8]",0,0,0.0,0.0,Bokaro,Rejected,0.0,0.0,0.0,0.0
1302,"[23.55, 85.8]",0,0,0.0,0.0,Bokaro,Rejected,0.0,0.0,0.0,0.0
1303,"[23.56, 85.8]",0,0,0.0,0.1544,Bokaro,Rejected,0.0,0.0,0.193572,0.0
