Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
250,None,None,None,None,None,None,None,None,None,None,None,None
251,None,None,None,None,None,None,None,None,None,None,None,None
252,None,None,None,None,None,None,None,None,None,None,None,None
253,None,None,None,None,None,None,None,None,None,None,None,None
254,None,None,None,None,None,None,None,None,None,None,None,None
255,None,None,None,None,None,None,None,None,None,None,None,None
256,None,None,None,None,None,None,None,None,None,None,None,None
257,None,None,None,None,None,None,None,None,None,None,None,None
258,"[[26.1508602 89.7140856]
 [26.1508551 89.7139132]]",None,None,None,None,None,None,None,None,None,None,None
259,None,None,None,None,None,None,None,None,None,None,None,None
260,"[[26.1728322 89.7181397]
 [26.1707418 89.712143 ]
 [26.1709472 89.7125867]]",None,None,None,None,None,[[26.1712648 89.7127287]],[[26.1784984 89.7106483]],None,None,None,None
261,[[26.1884192 89.7123572]],None,None,None,None,None,None,None,None,None,None,None
262,[[26.1969771 89.7163507]],None,None,None,None,None,None,None,None,None,None,None
263,None,None,None,None,None,None,None,None,None,None,None,None
264,[[26.2106377 89.7164463]],None,None,None,None,None,None,None,None,None,None,None
265,[[26.2284758 89.7105373]],None,None,None,None,None,None,None,None,None,None,None
266,"[[26.2392675 89.7129255]
 [26.2310501 89.719904 ]
 [26.2308341 89.7197401]]",[[26.2310501 89.719904 ]],None,None,None,None,None,None,None,None,None,None
267,None,None,None,None,None,None,None,None,None,None,None,None
268,"[[26.2541044 89.7192813]
 [26.2545888 89.7130921]
 [26.2528812 89.711632 ]]",None,None,None,None,None,None,None,None,None,None,None
269,"[[26.264899  89.7172559]
 [26.2623265 89.7153643]
 [26.2619257 89.7148519]
 [26.2634841 89.7102208]]",None,None,None,None,None,None,[[26.2661605 89.7167151]],None,None,None,None
270,"[[26.2711429 89.7151226]
 [26.2729254 89.713013 ]]",None,None,None,None,None,None,None,None,None,None,None
271,[[26.2812962 89.719792 ]],[[26.2812962 89.719792 ]],None,None,None,None,None,None,None,None,None,None
272,"[[26.2981313 89.7195765]
 [26.2988507 89.7117976]
 [26.2979571 89.7119411]]",None,None,None,None,None,None,None,None,None,None,None
273,[[26.3039918 89.7121674]],None,None,None,None,None,None,None,None,None,None,None
274,[[26.3104502 89.7165545]],None,"[[26.3100738 89.7145069]
 [26.3104362 89.7169931]]",None,None,[[26.3102584 89.7145293]],None,None,None,None,None,None
275,[[26.3201928 89.7135008]],None,None,None,None,None,None,None,None,None,None,None
276,None,None,None,None,None,None,None,None,None,None,None,None
