Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
240,[[27.475462 79.694218]],None,None,None,None,None,[[27.4729684 79.6931975]],None,None,None,None,[[27.473412 79.693329]]
241,[[27.4835559 79.6942328]],None,None,None,None,None,None,[[27.4852546 79.6954113]],None,None,None,None
242,None,None,None,None,None,None,None,None,None,None,None,None
243,None,None,None,None,None,None,None,None,None,None,None,None
244,None,None,None,None,None,None,None,None,None,None,None,None
245,None,None,None,None,None,None,None,None,None,None,None,None
246,None,None,None,None,None,None,None,None,[[27.5371849 79.6966283]],None,None,None
247,"[[27.54532565 79.6903441 ]
 [27.543322   79.694899  ]
 [27.5487442  79.6902728 ]
 [27.549301   79.6930902 ]
 [27.54949    79.6936186 ]
 [27.5482261  79.6966857 ]
 [27.5482948  79.6968429 ]
 [27.5484505  79.6967826 ]]",None,None,None,None,[[27.5471006 79.6900251]],None,None,[[27.546614  79.6904072]],[[27.5467525 79.6903104]],None,[[27.5400282 79.6984117]]
248,"[[27.5509832 79.6900975]
 [27.5523419 79.6912589]]",None,None,None,None,None,None,None,None,None,None,None
249,None,None,None,None,None,None,None,None,None,None,None,None
250,"[[27.5724753 79.6938327]
 [27.5739765 79.698967 ]
 [27.572267  79.6984325]]",None,None,None,None,None,[[27.577302 79.693708]],None,None,None,None,None
251,None,None,None,None,None,None,None,None,None,None,None,None
252,None,None,None,None,None,None,None,None,None,None,None,None
253,None,None,None,None,None,None,None,None,None,None,None,None
254,None,None,None,None,None,None,None,None,None,None,None,None
255,None,None,None,None,None,None,None,None,None,None,None,None
256,[[27.6398519 79.6995315]],None,None,None,None,None,None,None,None,None,None,None
257,None,None,None,None,None,None,None,None,None,None,None,None
258,None,None,None,None,None,None,None,None,None,None,None,None
259,None,None,None,None,None,None,None,None,None,None,None,None
260,None,None,None,None,None,None,None,None,None,None,None,None
261,None,None,None,None,None,None,None,None,None,None,None,None
262,None,None,None,None,None,None,None,None,None,None,None,None
263,"[[27.7092547 79.6912669]
 [27.7057749 79.6965137]]",None,None,None,None,None,None,None,None,None,None,None
264,None,None,None,None,None,None,None,None,None,None,None,None
265,None,None,None,None,None,None,None,None,None,None,None,None
266,None,None,None,None,None,None,None,None,None,None,None,None
267,None,None,None,None,None,None,None,None,None,None,None,None
268,None,None,None,None,None,None,None,None,None,None,None,None
269,None,None,None,None,None,None,None,None,None,None,None,None
270,None,None,None,None,None,None,None,None,None,None,None,None
271,None,None,None,None,None,None,None,None,None,None,None,None
272,None,None,None,None,None,None,None,None,None,None,None,None
273,None,None,None,None,None,None,None,None,None,None,None,None
274,None,None,None,None,None,None,None,None,None,None,None,None
275,None,None,None,None,None,None,None,None,None,None,None,None
276,None,None,None,None,None,None,None,None,None,None,None,None
277,[[26.93345   79.7091633]],None,None,None,None,None,None,None,None,None,None,None
278,[[26.941693  79.7033815]],None,None,None,None,None,None,None,None,None,None,None
279,[[26.9594197 79.7006978]],None,None,None,None,None,None,None,None,None,None,None
280,"[[26.9638692 79.7090198]
 [26.9649468 79.7049586]
 [26.9695987 79.7091368]]",None,None,None,None,None,None,None,None,[[26.9620269 79.7029272]],None,None
281,None,None,None,None,None,None,None,None,None,None,None,None
282,"[[26.9836665 79.7053179]
 [26.9838776 79.7051185]]",None,None,None,None,None,None,None,None,None,None,None
283,"[[26.9938212 79.7021238]
 [26.9998815 79.7096371]
 [26.9975554 79.7059021]]",None,None,None,None,None,[[26.9993759 79.7081454]],None,[[26.995675 79.70654 ]],None,None,None
284,None,None,None,None,None,None,None,None,None,None,None,None
285,[[27.017284 79.700287]],None,None,None,None,None,None,None,None,None,None,None
286,[[27.0291677 79.7063976]],None,None,None,None,None,[[27.0299623 79.7077262]],None,None,None,None,None
287,[[27.0359104 79.7007211]],None,None,None,None,None,None,None,None,[[27.0384178 79.7071211]],None,None
288,[[27.0436093 79.7017856]],None,None,None,None,None,None,None,None,None,None,None
289,[[27.0533542 79.7054287]],None,None,None,None,None,None,None,None,None,None,None
290,None,None,None,None,None,None,None,None,None,None,None,None
291,None,None,None,None,None,None,None,None,None,None,None,None
292,None,None,None,None,None,None,None,None,None,None,None,None
293,None,None,None,None,None,None,None,None,None,None,None,None
294,None,None,None,None,None,None,None,None,None,None,None,None
295,[[27.119303 79.707917]],None,None,None,None,None,[[27.1196362 79.7073947]],None,None,"[[27.1189119 79.7099529]
 [27.1179101 79.7078027]]",None,[[27.1193135 79.7090963]]
296,"[[27.1211103 79.7075644]
 [27.1207334 79.7072851]
 [27.1201095 79.7067128]]",None,None,None,None,None,None,None,None,None,None,None
297,"[[27.1324258 79.7066923]
 [27.132435  79.7067138]
 [27.1332381 79.7070283]
 [27.1334141 79.705371 ]
 [27.1338553 79.7061022]
 [27.1390956 79.7038119]
 [27.1368    79.7034   ]
 [27.135315  79.7081206]
 [27.1375724 79.7010516]
 [27.1365676 79.701762 ]
 [27.1349533 79.7086121]
 [27.1352177 79.7014459]
 [27.1335128 79.7004304]]",[[27.1334141 79.705371 ]],None,None,None,"[[27.1363238 79.7035826]
 [27.1374682 79.7024869]
 [27.1385019 79.7013383]
 [27.1376142 79.7021762]
 [27.1373326 79.7013769]]",None,None,"[[27.1371908 79.7028313]
 [27.1386576 79.7012793]]","[[27.1372583 79.7015529]
 [27.1371884 79.701408 ]]",None,"[[27.138088  79.7065287]
 [27.1387206 79.7014074]]"
298,"[[27.1425881 79.7001951]
 [27.1491974 79.7011843]]",None,None,None,None,None,None,None,None,None,None,None
299,[[27.1533378 79.7034752]],None,None,None,None,None,None,None,[[27.1535736 79.7036172]],None,None,None
300,None,None,None,None,None,None,None,None,None,None,None,None
301,None,None,None,None,None,None,None,None,None,None,None,None
